id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
58.0,4.205992,216333831.7,1152691352.0,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp|Orlando Bloom|Keira Knightley|Bill Nighy|Jack Davenport,Gore Verbinski,151.0,['Comedy'],Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,3181.0,2006.0,0.0
920.0,3.941265,129800299.0,499712923.9,Cars,Owen Wilson|Paul Newman|Bonnie Hunt|Larry the Cable Guy|Cheech Marin,John Lasseter|Joe Ranft,117.0,['Drama Thriller'],Walt Disney Pictures|Pixar Animation Studios,2336.0,2006.0,0.0
36557.0,3.78958,162250373.7,647969539.3,Casino Royale,Daniel Craig|Eva Green|Mads Mikkelsen|Judi Dench|Jeffrey Wright,Martin Campbell,144.0,['Drama'],Eon Productions,2738.0,2006.0,0.0
591.0,3.655536,135208644.8,820164661.4,The Da Vinci Code,Tom Hanks|Audrey Tautou|Ian McKellen|Paul Bettany|Jean Reno,Ron Howard,149.0,['Documentary War'],Columbia Pictures|Imagine Entertainment|Skylark Productions|Government of Malta,1585.0,2006.0,1422910.0
9762.0,3.206696,12980029.9,123521044.0,Step Up,Channing Tatum|Jenna Dewan|Damaine Radcliff|De'Shawn Washington|Mario,Anne Fletcher,104.0,['Adventure Fantasy Action Western Thriller'],Summit Entertainment|Offspring Entertainment|Touchstone Pictures|Eketahuna LLC,619.0,2006.0,-413912431.0
950.0,3.145562,86533532.66,714919257.2,Ice Age: The Meltdown,Ray Romano|John Leguizamo|Denis Leary|Queen Latifah|Seann William Scott,Carlos Saldanha,91.0,['Documentary'],Blue Sky Studios|Twentieth Century Fox Animation,1775.0,2006.0,0.0
956.0,3.098051,162250373.7,430342087.6,Mission: Impossible III,Tom Cruise|Philip Seymour Hoffman|Ving Rhames|Billy Crudup|Jonathan Rhys Meyers,J.J. Abrams,126.0,['Comedy Thriller'],Paramount Pictures|Cruise/Wagner Productions|Studio Babelsberg|MI 3 Film|China Film Co-Production Corporation,1363.0,2006.0,-5650813.0
350.0,3.03143,37858420.54,353220247.0,The Devil Wears Prada,Meryl Streep|Anne Hathaway|Emily Blunt|Stanley Tucci|Simon Baker,David Frankel,109.0,['Drama Mystery Thriller'],Twentieth Century Fox Film Corporation|Dune Entertainment|Major Studio Partners|Peninsula Films|Fox 2000 Pictures,1773.0,2006.0,0.0
1422.0,2.81975,97350224.25,313518943.4,The Departed,Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen,Martin Scorsese,151.0,['Drama'],Vertigo Entertainment|Media Asia Films|Warner Bros.|Initial Entertainment Group (IEG)|Plan B Entertainment,2635.0,2006.0,63931.0
1581.0,2.606305,91941878.45,210026294.3,The Holiday,Cameron Diaz|Kate Winslet|Jude Law|Jack Black|Eli Wallach,Nancy Meyers,136.0,['Animation Comedy Family Mystery'],Columbia Pictures|Universal Pictures|Waverly Films|Relativity Media,748.0,2006.0,0.0
